Market,Agency__c,Forecast_Month__c,Forecast_Year__c,Forecast__c,CurrencyIsoCode,Forecast_Type__c,Forecast_Quarter__c,Business_Unit__c,Forecast_Level__c,Id,Name
United States,a00i000000SVR9NAAX,Sep,2016,10969.91,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvj7EAD,FR-23740
United States,a00i000000SVR9NAAX,Sep,2016,2166044,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvk0EAD,FR-23790
United States,a00i000000SVR9XAAX,Apr,2016,600499.8,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvipEAD,FR-23722
United States,a00i000000SVR9XAAX,Apr,2016,3666216,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvk7EAD,FR-23797
United States,a00i000000SVR9XAAX,Aug,2016,145705.5,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvitEAD,FR-23726
United States,a00i000000SVR9XAAX,Aug,2016,4615.4,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvjBEAT,FR-23744
United States,a00i000000SVR9XAAX,Aug,2016,4073355,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvkBEAT,FR-23801
United States,a00i000000SVR9XAAX,Dec,2016,758000,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvixEAD,FR-23730
United States,a00i000000SVR9XAAX,Dec,2016,6258729,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvkFEAT,FR-23805
United States,a00i000000SVR9XAAX,Feb,2016,30542.02,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvinEAD,FR-23720
United States,a00i000000SVR9XAAX,Feb,2016,4347714,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvk5EAD,FR-23795
United States,a00i000000SVR9XAAX,Jan,2016,74168.84,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvimEAD,FR-23719
United States,a00i000000SVR9XAAX,Jan,2016,4910482,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvk4EAD,FR-23794
United States,a00i000000SVR9XAAX,Jul,2016,153069,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvisEAD,FR-23725
United States,a00i000000SVR9XAAX,Jul,2016,3281023,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvkAEAT,FR-23800
United States,a00i000000SVR9XAAX,Jun,2016,471945.4,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvirEAD,FR-23724
United States,a00i000000SVR9XAAX,Jun,2016,4302042,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvk9EAD,FR-23799
United States,a00i000000SVR9XAAX,Mar,2016,590456.9,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvioEAD,FR-23721
United States,a00i000000SVR9XAAX,Mar,2016,4602716,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvk6EAD,FR-23796
United States,a00i000000SVR9XAAX,May,2016,521201.3,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviqEAD,FR-23723
United States,a00i000000SVR9XAAX,May,2016,3897807,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvk8EAD,FR-23798
United States,a00i000000SVR9XAAX,Nov,2016,346000,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviwEAD,FR-23729
United States,a00i000000SVR9XAAX,Nov,2016,6579061,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvkEEAT,FR-23804
United States,a00i000000SVR9XAAX,Oct,2016,153000,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvivEAD,FR-23728
United States,a00i000000SVR9XAAX,Oct,2016,4784143,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvkDEAT,FR-23803
United States,a00i000000SVR9XAAX,Sep,2016,387054,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviuEAD,FR-23727
United States,a00i000000SVR9XAAX,Sep,2016,237517.9,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvjCEAT,FR-23745
United States,a00i000000SVR9XAAX,Sep,2016,3013831,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvkCEAT,FR-23802
